id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ZNF273	16	0.30937	0.50454	0.999599	641	1	-0.014385	0.59558	0.73746	0.991682	994	2	-0.014385
ZBTB20	16	0.0052897	0.023584	0.522791	56	6	-0.058422	0.59716	0.73848	0.991682	995	1	-0.058422
ZNF219	16	0.13898	0.30643	0.999599	393	4	-0.024641	0.59725	0.73853	0.991682	996	2	-0.024641
ZNF3	16	0.53502	0.67859	0.999599	865	2	-0.0059631	0.59779	0.73889	0.991682	997	2	-0.0059631
ZNF681	16	0.96075	0.96077	0.999599	1280	0	0.019724	0.59811	0.73909	0.991682	998	1	0.019724
ZNF778	16	0.034807	0.11045	0.888368	167	5	-0.0091513	0.59874	0.7395	0.991682	999	1	-0.0091513
FOXM1	16	0.92405	0.92407	0.999599	1227	0	-0.00063144	0.60062	0.74071	0.991682	1000	1	-0.00063144
NFE2L1	16	0.26411	0.45439	0.999599	570	3	0.03019	0.60156	0.74132	0.991682	1001	2	0.03019
AGER	16	0.1084	0.25437	0.999599	343	1	0.0066628	0.60423	0.74305	0.991682	1002	2	0.0066628
ZNF416	16	0.022216	0.077227	0.780966	133	5	-0.045182	0.60466	0.74333	0.991682	1003	2	-0.045182
ZNF211	16	0.86866	0.87211	0.999599	1132	1	-0.015919	0.60488	0.74348	0.991682	1004	2	-0.015919
CREB3	16	0.54712	0.68748	0.999599	879	2	0.010326	0.60683	0.74474	0.991682	1005	1	0.010326
PRDM14	16	0.41632	0.59678	0.999599	749	1	0.0094939	0.60745	0.74515	0.991682	1006	1	0.0094939
MYOG	16	0.15275	0.32937	0.999599	414	3	0.007547	0.60791	0.74544	0.991682	1007	2	0.007547
ZIC2	16	0.33708	0.53517	0.999599	675	2	-0.002763	0.60991	0.74675	0.991682	1008	1	-0.002763
BTN3A1	16	0.27229	0.46345	0.999599	585	3	0.0090361	0.61082	0.74735	0.991682	1009	1	0.0090361
TFE3	16	0.12875	0.28919	0.999599	373	3	-0.0028199	0.61113	0.74755	0.991682	1010	1	-0.0028199
ZEB2	16	0.055747	0.16047	0.974765	221	4	-0.013163	0.61391	0.74938	0.991682	1011	2	-0.013163
MYBL2	16	0.65352	0.76888	0.999599	989	1	0.017213	0.61412	0.74952	0.991682	1012	2	0.017213
PROP1	16	0.92601	0.92602	0.999599	1231	0	0.0066738	0.61447	0.74975	0.991682	1013	1	0.0066738
TEAD1	16	0.057522	0.16375	0.974765	225	2	-0.017418	0.61914	0.75283	0.991682	1014	1	-0.017418
NR2F6	16	0.27785	0.4696	0.999599	595	3	0.044726	0.61964	0.75316	0.991682	1015	2	0.044726
