sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
s_4138_r3	GLIS2	893.49	991.99	893.49	991.99	0.15072	4851.5	8859.9	1.0465	0.85233	0.14767	0.29533	0.99995	True
s_2048_r3	TERF2	1135.7	1024.6	1135.7	1024.6	-0.14829	6163.7	11261	1.0463	0.14772	0.85228	0.29544	0.99995	False
s_3569_r2	RNF20	517.94	592.91	517.94	592.91	0.19468	2810.5	5135.9	1.0462	0.85225	0.14775	0.29549	0.99995	True
s_4077_r2	KLF16	279	223.99	279	223.99	-0.31559	1513.3	2766.6	1.0459	0.14779	0.85221	0.29559	0.99995	False
s_2593_r3	YBX3	742.94	653.16	742.94	653.16	-0.18553	4029.6	7367	1.0459	0.1478	0.8522	0.29559	0.99995	False
s_4052_r3	ZNF93	1764.1	1902.3	1764.1	1902.3	0.10881	9559.6	17493	1.0455	0.85209	0.14791	0.29581	0.99995	True
s_4162_r0	ZSCAN10	833.31	738.28	833.31	738.28	-0.17447	4515.6	8263.1	1.0454	0.14791	0.85209	0.29582	0.99995	False
s_5564_r2	Non-Targeting Control	801.39	708.2	801.39	708.2	-0.17812	4342.6	7946.7	1.0454	0.14791	0.85209	0.29582	0.99995	False
s_690_r2	HIVEP1	899.34	998.06	899.34	998.06	0.15011	4873.2	8917.9	1.0454	0.85209	0.14791	0.29583	0.99995	True
s_4183_r2	ZNF566	1436.6	1561.3	1436.6	1561.3	0.12007	7782.4	14245	1.0453	0.85206	0.14794	0.29589	0.99995	True
s_3445_r2	BNC2	102.4	69.173	102.4	69.173	-0.55925	552.03	1015.4	1.0452	0.14798	0.85202	0.29595	0.99995	False
s_1251_r2	FOXO4	1681.4	1546.5	1681.4	1546.5	-0.12061	9103.6	16673	1.045	0.14801	0.85199	0.29603	0.99995	False
s_5317_r2	CCR2	837.01	932.19	837.01	932.19	0.1552	4529.2	8299.8	1.0447	0.85192	0.14808	0.29616	0.99995	True
s_3892_r2	IRX6	2022.8	2170.7	2022.8	2170.7	0.10178	10942	20058	1.0445	0.85188	0.14812	0.29623	0.99995	True
s_1448_r1	NR4A2	1102.8	993.61	1102.8	993.61	-0.15032	5964.5	10936	1.0444	0.14814	0.85186	0.29629	0.99995	False
