sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
s_1354_r0	NIPBL	1097.6	1033.4	1097.6	1033.4	-0.08681	2057.9	5726.9	0.84776	0.19829	0.80171	0.39657	0.99724	False
s_2080_r0	TRAF6	3768.2	3636.4	3768.2	3636.4	-0.05137	8692.3	24249	0.84671	0.19858	0.80142	0.39715	0.99724	False
s_1346_r0	NFYC	3316.1	3194	3316.1	3194	-0.054103	7453.2	20872	0.8451	0.19903	0.80097	0.39806	0.99724	False
s_2304_r0	TGFBR1	3137.2	3019.2	3137.2	3019.2	-0.055305	6965	19558	0.84395	0.19935	0.80065	0.3987	0.99724	False
s_84_r0	ARAP2	3879.3	4013	3879.3	4013	0.048862	8934	25090	0.84389	0.80063	0.19937	0.39873	0.99724	True
s_468_r0	CYBA	4891.4	4738.3	4891.4	4738.3	-0.045863	11717	32941	0.84344	0.19949	0.80051	0.39898	0.99724	False
s_1253_r0	MSN	2719.5	2611.1	2719.5	2611.1	-0.058698	5882.6	16542	0.84335	0.19952	0.80048	0.39903	0.99724	False
s_646_r0	FGF12	612.12	566.72	612.12	566.72	-0.11098	1030.4	2901.8	0.84271	0.1997	0.8003	0.39939	0.99724	False
s_476_r0	CYLD	3876	4009.4	3876	4009.4	0.048805	8897.8	25065	0.8426	0.80027	0.19973	0.39945	0.99724	True
s_877_r0	IL10	1164.2	1098.3	1164.2	1098.3	-0.08404	2174	6134.5	0.84189	0.19993	0.80007	0.39985	0.99724	False
s_603_r0	ENPP6	3932.7	4067.1	3932.7	4067.1	0.048471	9032.5	25495	0.84176	0.80004	0.19996	0.39992	0.99724	True
s_1918_r0	TBCE	2587.3	2482.2	2587.3	2482.2	-0.059809	5524	15604	0.84145	0.20005	0.79995	0.4001	0.99724	False
s_138_r0	ATXN7L3	2875.1	2763.3	2875.1	2763.3	-0.057163	6241.7	17656	0.84086	0.20021	0.79979	0.40043	0.99724	False
s_1837_r0	SMARCC2	3366.1	3243.6	3366.1	3243.6	-0.053479	7506.6	21241	0.84071	0.20026	0.79974	0.40051	0.99724	False
s_736_r0	GYPC	3542.7	3416.6	3542.7	3416.6	-0.052304	7960.1	22555	0.84014	0.20041	0.79959	0.40083	0.99724	False
s_2607_r0	Non-Targeting Control	2270.7	2367.8	2270.7	2367.8	0.06037	4712.1	13392	0.83888	0.79923	0.20077	0.40153	0.99724	True
s_1742_r0	SAMD9	4875.8	4723.9	4875.8	4723.9	-0.045664	11544	32818	0.83874	0.20081	0.79919	0.40161	0.99724	False
s_38_r0	AHR	3656	3784.2	3656	3784.2	0.049676	8206.7	23404	0.83745	0.79883	0.20117	0.40234	0.99724	True
s_2272_r0	GAS6	966.5	1025.3	966.5	1025.3	0.085154	1730.2	4937.7	0.83714	0.79874	0.20126	0.40251	0.99724	True
s_571_r0	EFR3A	5102.5	5258.2	5102.5	5258.2	0.043361	12123	34618	0.83691	0.79868	0.20132	0.40264	0.99724	True
s_955_r0	IRF2	4072.6	3936.4	4072.6	3936.4	-0.049066	9277.1	26564	0.83574	0.20165	0.79835	0.4033	0.99724	False
s_1083_r0	LGALS9	5212.4	5369.9	5212.4	5369.9	0.042927	12396	35496	0.83573	0.79835	0.20165	0.40331	0.99724	True
s_2138_r0	UBE2L3	3730.5	3859.8	3730.5	3859.8	0.049169	8367.8	23964	0.83568	0.79833	0.20167	0.40333	0.99724	True
s_797_r0	HLA-DRA	4194.8	4056.3	4194.8	4056.3	-0.048455	9602.7	27502	0.83565	0.20167	0.79833	0.40335	0.99724	False
s_1169_r0	MAPK1	1514.2	1438	1514.2	1438	-0.074449	2903.7	8337.3	0.8346	0.20197	0.79803	0.40394	0.99724	False
s_905_r0	IL23R	856.52	801.88	856.52	801.88	-0.094985	1492.7	4289.5	0.83427	0.20207	0.79793	0.40413	0.99724	False
s_539_r0	DOCK8	5308	5149.2	5308	5149.2	-0.043819	12613	36262	0.83405	0.20213	0.79787	0.40425	0.99724	False
s_85_r0	ARIH2	2990.6	3103.9	2990.6	3103.9	0.053634	6419.5	18490	0.83328	0.79766	0.20234	0.40468	0.99724	True
s_180_r0	BRD7	2885.1	2774.1	2885.1	2774.1	-0.056538	6151.1	17728	0.83304	0.20241	0.79759	0.40482	0.99724	False
s_2538_r0	Non-Targeting Control	2158.5	2065.1	2158.5	2065.1	-0.063823	4366.6	12620	0.83186	0.20274	0.79726	0.40549	0.99724	False
s_622_r0	FADD	733.21	782.96	733.21	782.96	0.094591	1237.6	3579.5	0.83157	0.79717	0.20283	0.40565	0.99724	True
s_1613_r0	RALBP1	4434.8	4292.3	4434.8	4292.3	-0.047102	10151	29359	0.83156	0.20283	0.79717	0.40566	0.99724	False
s_740_r0	GYPE	3763.8	3893.2	3763.8	3893.2	0.048745	8369	24215	0.83139	0.79712	0.20288	0.40575	0.99724	True
s_1506_r0	PPAN-P2RY11	3271.7	3152.6	3271.7	3152.6	-0.053482	7092.4	20544	0.83094	0.203	0.797	0.40601	0.99724	False
